Time(s),COMMAND,RES,%CPU,%MEM
5.0,top,3800,14.3,0.2
5.0,ksoftirqd/1,0,9.5,0.0
5.1,Suricata-Main,45960,70.0,2.3
5.1,top,3764,20.0,0.2
5.1,ksoftirqd/1,0,10.0,0.0
5.2,Suricata-Main,45960,71.4,2.3
5.2,top,3768,19.0,0.2
5.2,awk,3040,19.0,0.2
5.3,Suricata-Main,45960,76.2,2.3
5.3,top,3764,19.0,0.2
5.3,ksoftirqd/1,0,9.5,0.0
5.4,Suricata-Main,45960,76.2,2.3
5.4,top,3748,23.8,0.2
5.4,ksoftirqd/1,0,9.5,0.0
5.5,Suricata-Main,45960,77.3,2.3
5.5,top,3720,13.6,0.2
5.5,ksoftirqd/1,0,4.5,0.0
5.6,Suricata-Main,45960,45.0,2.3
5.6,top,3740,15.0,0.2
5.6,ksoftirqd/1,0,10.0,0.0
5.7,Suricata-Main,45960,50.0,2.3
5.7,ksoftirqd/1,0,15.0,0.0
5.7,top,3800,15.0,0.2
5.8,Suricata-Main,45960,73.7,2.3
5.8,top,3716,26.3,0.2
5.8,ksoftirqd/1,0,10.5,0.0
5.9,Suricata-Main,45960,72.7,2.3
5.9,top,3632,18.2,0.2
5.9,ksoftirqd/1,0,9.1,0.0
6.0,Suricata-Main,45960,80.0,2.3
6.0,top,3804,15.0,0.2
6.0,ksoftirqd/1,0,10.0,0.0
6.1,Suricata-Main,45960,71.4,2.3
6.1,top,3768,19.0,0.2
6.1,ksoftirqd/1,0,9.5,0.0
6.2,Suricata-Main,45960,72.7,2.3
6.2,top,3684,13.6,0.2
6.2,awk,3064,13.6,0.2
6.3,Suricata-Main,45960,81.0,2.3
6.3,top,3676,19.0,0.2
6.3,ksoftirqd/1,0,4.8,0.0
6.4,Suricata-Main,45960,70.0,2.3
6.4,ksoftirqd/1,0,15.0,0.0
6.4,top,3772,15.0,0.2
6.5,Suricata-Main,45960,70.0,2.3
6.5,top,3788,15.0,0.2
6.5,awk,3144,15.0,0.2
6.6,Suricata-Main,45960,85.0,2.3
6.6,top,3764,20.0,0.2
6.6,ksoftirqd/1,0,10.0,0.0
6.7,Suricata-Main,45960,65.0,2.3
6.7,top,3760,15.0,0.2
6.7,ksoftirqd/1,0,10.0,0.0
6.8,Suricata-Main,45960,69.6,2.3
6.8,ksoftirqd/1,0,13.0,0.0
6.8,top,3692,13.0,0.2
6.9,Suricata-Main,45960,61.9,2.3
6.9,top,3688,19.0,0.2
6.9,ksoftirqd/1,0,9.5,0.0
7.0,Suricata-Main,45960,76.2,2.3
7.0,top,3776,19.0,0.2
7.0,ksoftirqd/1,0,14.3,0.0
7.1,Suricata-Main,45960,81.0,2.3
7.1,top,3636,19.0,0.2
7.1,ksoftirqd/1,0,9.5,0.0
7.2,Suricata-Main,45960,100.0,2.3
7.2,top,3744,30.0,0.2
7.2,ksoftirqd/1,0,10.0,0.0
7.3,Suricata-Main,45960,56.0,2.3
7.3,top,3760,12.0,0.2
7.3,ksoftirqd/1,0,4.0,0.0
7.4,Suricata-Main,45960,78.3,2.3
7.4,awk,3180,30.4,0.2
7.4,top,3788,21.7,0.2
7.5,Suricata-Main,45960,47.6,2.3
7.5,ksoftirqd/1,0,14.3,0.0
7.5,top,3696,14.3,0.2
7.6,Suricata-Main,45960,50.0,2.3
7.6,ksoftirqd/1,0,15.0,0.0
7.6,top,3804,15.0,0.2
7.7,Suricata-Main,45960,50.0,2.3
7.7,top,3772,20.0,0.2
7.7,ksoftirqd/1,0,15.0,0.0
7.8,Suricata-Main,45960,57.9,2.3
7.8,ksoftirqd/1,0,15.8,0.0
7.8,awk,3120,15.8,0.2
7.9,Suricata-Main,45960,50.0,2.3
7.9,top,3756,25.0,0.2
7.9,ksoftirqd/1,0,12.5,0.0
8.0,Suricata-Main,45960,40.9,2.3
8.0,ksoftirqd/1,0,13.6,0.0
8.0,top,3620,13.6,0.2
8.1,Suricata-Main,45960,50.0,2.3
8.1,ksoftirqd/1,0,20.0,0.0
8.1,top,3628,20.0,0.2
8.2,Suricata-Main,45960,57.1,2.3
8.2,top,3680,19.0,0.2
