Connecting to host 192.168.2.3, port 5201
[  5] local 192.168.1.3 port 35202 connected to 192.168.2.3 port 5201
[  5]  66.00-67.00  sec   846 MBytes  7.09 Gbits/sec    0   1.98 MBytes       
[  5]  67.00-68.00  sec   850 MBytes  7.13 Gbits/sec    0   1.98 MBytes       
[  5]  68.00-69.00  sec   764 MBytes  6.41 Gbits/sec    0   1.98 MBytes       
[  5]  69.00-70.00  sec   846 MBytes  7.10 Gbits/sec    0   1.98 MBytes       
[  5]  70.00-71.00  sec   845 MBytes  7.09 Gbits/sec    0   1.98 MBytes       
[  5]  71.00-72.00  sec   836 MBytes  7.01 Gbits/sec    0   1.98 MBytes       
[  5]  72.00-73.00  sec   853 MBytes  7.16 Gbits/sec    0   1.98 MBytes       
[  5]  73.00-74.00  sec   846 MBytes  7.09 Gbits/sec    0   1.98 MBytes       
[  5]  74.00-75.00  sec   765 MBytes  6.42 Gbits/sec    0   1.98 MBytes       
[  5]  75.00-76.00  sec   824 MBytes  6.92 Gbits/sec    0   1.98 MBytes       
[  5]  76.00-77.00  sec   848 MBytes  7.11 Gbits/sec    0   1.98 MBytes       
[  5]  77.00-78.00  sec   835 MBytes  7.01 Gbits/sec    0   1.98 MBytes       
[  5]  78.00-79.00  sec   852 MBytes  7.15 Gbits/sec    0   1.98 MBytes       
[  5]  79.00-80.00  sec   850 MBytes  7.13 Gbits/sec    0   1.98 MBytes       
[  5]  80.00-81.00  sec   836 MBytes  7.02 Gbits/sec    0   1.98 MBytes       
[  5]  81.00-82.00  sec   842 MBytes  7.07 Gbits/sec    0   1.98 MBytes       
[  5]  82.00-83.00  sec   846 MBytes  7.10 Gbits/sec    0   1.98 MBytes       
[  5]  83.00-84.00  sec   846 MBytes  7.09 Gbits/sec    0   1.98 MBytes       
[  5]  84.00-85.00  sec   848 MBytes  7.12 Gbits/sec    0   1.98 MBytes       
[  5]  85.00-86.00  sec   857 MBytes  7.19 Gbits/sec    0   1.98 MBytes       
[  5]  86.00-87.00  sec   850 MBytes  7.13 Gbits/sec    0   1.98 MBytes       
[  5]  87.00-88.00  sec   847 MBytes  7.11 Gbits/sec    0   1.98 MBytes       
[  5]  88.00-89.00  sec   864 MBytes  7.25 Gbits/sec    0   1.98 MBytes       
[  5]  89.00-90.00  sec   839 MBytes  7.04 Gbits/sec    0   1.98 MBytes       
[  5]  90.00-91.00  sec   848 MBytes  7.11 Gbits/sec    0   1.98 MBytes       
[  5]  91.00-92.00  sec   834 MBytes  7.00 Gbits/sec    0   1.98 MBytes       
[  5]  92.00-93.00  sec   836 MBytes  7.02 Gbits/sec    0   1.98 MBytes       
[  5]  93.00-94.00  sec   839 MBytes  7.04 Gbits/sec    0   1.98 MBytes       
[  5]  94.00-95.00  sec   838 MBytes  7.03 Gbits/sec    0   1.98 MBytes       
[  5]  95.00-96.00  sec   834 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5]  96.00-97.00  sec   753 MBytes  6.32 Gbits/sec    0   1.98 MBytes       
[  5]  97.00-98.00  sec   847 MBytes  7.11 Gbits/sec    0   1.98 MBytes       
[  5]  98.00-99.00  sec   845 MBytes  7.09 Gbits/sec    0   1.98 MBytes       
[  5]  99.00-100.00 sec   811 MBytes  6.80 Gbits/sec    0   1.98 MBytes       
[  5] 100.00-101.00 sec   834 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 101.00-102.00 sec   858 MBytes  7.20 Gbits/sec    0   1.98 MBytes       
[  5] 102.00-103.00 sec   840 MBytes  7.05 Gbits/sec    0   1.98 MBytes       
[  5] 103.00-104.00 sec   774 MBytes  6.50 Gbits/sec    0   1.98 MBytes       
[  5] 104.00-105.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 105.00-106.00 sec   838 MBytes  7.03 Gbits/sec    0   1.98 MBytes       
[  5] 106.00-107.00 sec   842 MBytes  7.06 Gbits/sec    0   1.98 MBytes       
[  5] 107.00-108.00 sec   835 MBytes  7.01 Gbits/sec    0   1.98 MBytes       
[  5] 108.00-109.00 sec   833 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 109.00-110.00 sec   836 MBytes  7.02 Gbits/sec    0   1.98 MBytes       
[  5] 110.00-111.00 sec   848 MBytes  7.12 Gbits/sec    0   1.98 MBytes       
[  5] 111.00-112.00 sec   840 MBytes  7.04 Gbits/sec    0   1.98 MBytes       
[  5] 112.00-113.00 sec   833 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 113.00-114.00 sec   826 MBytes  6.93 Gbits/sec    0   1.98 MBytes       
[  5] 114.00-115.00 sec   830 MBytes  6.96 Gbits/sec    0   1.98 MBytes       
[  5] 115.00-116.00 sec   835 MBytes  7.00 Gbits/sec    0   1.98 MBytes       
[  5] 116.00-117.00 sec   736 MBytes  6.17 Gbits/sec    0   1.98 MBytes       
[  5] 117.00-118.00 sec   831 MBytes  6.97 Gbits/sec    0   1.98 MBytes       
[  5] 118.00-119.00 sec   772 MBytes  6.48 Gbits/sec    0   1.98 MBytes       
