CPUPerc,MemUsage,NetIO,BlockIO
0.00%,1.184MiB / 1GiB,7.02TB / 7.02TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.03TB / 7.03TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.05TB / 7.05TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.06TB / 7.06TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.08TB / 7.08TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.09TB / 7.09TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.11TB / 7.11TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.13TB / 7.13TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.14TB / 7.14TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.16TB / 7.16TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.17TB / 7.17TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.19TB / 7.19TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.2TB / 7.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.22TB / 7.22TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.24TB / 7.24TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.25TB / 7.25TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.27TB / 7.27TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.28TB / 7.28TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.3TB / 7.3TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.31TB / 7.31TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.33TB / 7.33TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.35TB / 7.35TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.36TB / 7.36TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.38TB / 7.38TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.39TB / 7.39TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.41TB / 7.41TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.42TB / 7.42TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.44TB / 7.44TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.46TB / 7.46TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.47TB / 7.47TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.49TB / 7.49TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.5TB / 7.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.52TB / 7.52TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.53TB / 7.53TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.55TB / 7.55TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.57TB / 7.57TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.58TB / 7.58TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.6TB / 7.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.61TB / 7.61TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.63TB / 7.63TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.64TB / 7.64TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.66TB / 7.66TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.68TB / 7.68TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.69TB / 7.69TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.71TB / 7.71TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.72TB / 7.72TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.74TB / 7.74TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.75TB / 7.75TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.77TB / 7.77TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.79TB / 7.79TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.8TB / 7.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.82TB / 7.82TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.83TB / 7.83TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.85TB / 7.85TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.87TB / 7.87TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.88TB / 7.88TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.9TB / 7.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.91TB / 7.91TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.93TB / 7.93TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.94TB / 7.94TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.96TB / 7.96TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.98TB / 7.98TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,7.99TB / 7.99TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8TB / 8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.02TB / 8.02TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.03TB / 8.03TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.05TB / 8.05TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.06TB / 8.06TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.08TB / 8.08TB,1.16MB / 4.1kB
