CPUPerc,MemUsage,NetIO,BlockIO
0.00%,1.184MiB / 1GiB,2.57TB / 2.57TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.58TB / 2.58TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.6TB / 2.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.61TB / 2.61TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.63TB / 2.63TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.64TB / 2.64TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.66TB / 2.66TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.68TB / 2.68TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.69TB / 2.69TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.71TB / 2.71TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.72TB / 2.72TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.74TB / 2.74TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.75TB / 2.75TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.77TB / 2.77TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.79TB / 2.79TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.8TB / 2.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.82TB / 2.82TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.83TB / 2.83TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.85TB / 2.85TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.86TB / 2.86TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.88TB / 2.88TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.9TB / 2.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.91TB / 2.91TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.93TB / 2.93TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.94TB / 2.94TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.96TB / 2.96TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.98TB / 2.98TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.99TB / 2.99TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.01TB / 3.01TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.02TB / 3.02TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.04TB / 3.04TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.05TB / 3.05TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.07TB / 3.07TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.09TB / 3.09TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.1TB / 3.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.12TB / 3.12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.13TB / 3.13TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.15TB / 3.15TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.16TB / 3.16TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.18TB / 3.18TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.2TB / 3.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.21TB / 3.21TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.23TB / 3.23TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.24TB / 3.24TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.26TB / 3.26TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.27TB / 3.27TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.29TB / 3.29TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.31TB / 3.31TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.32TB / 3.32TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.34TB / 3.34TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.35TB / 3.35TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.37TB / 3.37TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.38TB / 3.38TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.4TB / 3.4TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.42TB / 3.42TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.43TB / 3.43TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.45TB / 3.45TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.46TB / 3.46TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.48TB / 3.48TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.49TB / 3.49TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.51TB / 3.51TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.53TB / 3.53TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.54TB / 3.54TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.56TB / 3.56TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,3.57TB / 3.57TB,1.16MB / 4.1kB
