Time(s),COMMAND,RES,%CPU,%MEM
4.4,top,3724,14.3,0.2
4.5,ksoftirqd/1,0,78.6,0.0
4.5,Suricata-Main,45960,50.0,2.3
4.5,top,3868,17.9,0.2
4.6,ksoftirqd/1,0,81.8,0.0
4.6,Suricata-Main,45960,54.5,2.3
4.6,top,3736,22.7,0.2
4.7,ksoftirqd/1,0,80.8,0.0
4.7,Suricata-Main,45960,50.0,2.3
4.7,top,3684,19.2,0.2
4.8,ksoftirqd/1,0,84.0,0.0
4.8,Suricata-Main,45960,44.0,2.3
4.8,top,3768,16.0,0.2
4.9,ksoftirqd/1,0,76.9,0.0
4.9,Suricata-Main,45960,57.7,2.3
4.9,top,3764,15.4,0.2
5.0,ksoftirqd/1,0,68.0,0.0
5.0,Suricata-Main,45960,52.0,2.3
5.0,top,3744,16.0,0.2
5.1,ksoftirqd/1,0,63.0,0.0
5.1,Suricata-Main,45960,48.1,2.3
5.1,top,3612,14.8,0.2
5.2,ksoftirqd/1,0,77.8,0.0
5.2,Suricata-Main,45960,59.3,2.3
5.2,top,3612,18.5,0.2
5.3,ksoftirqd/1,0,79.2,0.0
5.3,Suricata-Main,45960,58.3,2.3
5.3,top,3768,16.7,0.2
5.4,ksoftirqd/1,0,76.9,0.0
5.4,Suricata-Main,45960,50.0,2.3
5.4,top,3748,15.4,0.2
5.5,ksoftirqd/1,0,88.0,0.0
5.5,Suricata-Main,45960,56.0,2.3
5.5,top,3768,12.0,0.2
5.6,ksoftirqd/1,0,70.4,0.0
5.6,Suricata-Main,45960,37.0,2.3
5.6,top,3776,7.4,0.2
5.7,ksoftirqd/1,0,71.4,0.0
5.7,Suricata-Main,45960,52.4,2.3
5.7,top,3616,14.3,0.2
5.8,ksoftirqd/1,0,80.8,0.0
5.8,Suricata-Main,45960,57.7,2.3
5.8,top,3728,15.4,0.2
5.9,ksoftirqd/1,0,70.8,0.0
5.9,Suricata-Main,45960,54.2,2.3
5.9,top,3760,12.5,0.2
6.0,ksoftirqd/1,0,90.9,0.0
6.0,Suricata-Main,45960,63.6,2.3
6.0,top,3768,18.2,0.2
6.1,ksoftirqd/1,0,73.9,0.0
6.1,Suricata-Main,45960,47.8,2.3
6.1,top,3748,13.0,0.2
6.2,ksoftirqd/1,0,76.2,0.0
6.2,Suricata-Main,45960,61.9,2.3
6.2,top,3708,19.0,0.2
6.3,ksoftirqd/1,0,81.8,0.0
6.3,Suricata-Main,45960,54.5,2.3
6.3,top,3772,18.2,0.2
6.4,ksoftirqd/1,0,80.0,0.0
6.4,Suricata-Main,45960,68.0,2.3
6.4,top,3808,20.0,0.2
6.5,ksoftirqd/1,0,81.5,0.0
6.5,Suricata-Main,45960,51.9,2.3
6.5,top,3748,18.5,0.2
6.6,ksoftirqd/1,0,68.0,0.0
6.6,Suricata-Main,45960,60.0,2.3
6.6,top,3764,12.0,0.2
6.7,ksoftirqd/1,0,77.3,0.0
6.7,Suricata-Main,45960,59.1,2.3
6.7,top,3672,18.2,0.2
6.8,ksoftirqd/1,0,86.4,0.0
6.8,Suricata-Main,45960,54.5,2.3
6.8,top,3804,13.6,0.2
6.9,ksoftirqd/1,0,86.4,0.0
6.9,Suricata-Main,45960,59.1,2.3
6.9,top,3624,18.2,0.2
7.0,ksoftirqd/1,0,90.0,0.0
7.0,Suricata-Main,45960,70.0,2.3
7.0,top,3764,15.0,0.2
7.1,ksoftirqd/1,0,74.1,0.0
7.1,Suricata-Main,45960,48.1,2.3
7.1,top,3796,18.5,0.2
7.2,ksoftirqd/1,0,68.0,0.0
7.2,Suricata-Main,45960,60.0,2.3
7.2,top,3772,16.0,0.2
7.3,ksoftirqd/1,0,75.0,0.0
7.3,Suricata-Main,45960,65.0,2.3
7.3,top,3756,20.0,0.2
