CPUPerc,MemUsage,NetIO,BlockIO
4.97%,182.1MiB / 1GiB,744GB / 776GB,23.1MB / 288MB
4.29%,182.1MiB / 1GiB,744GB / 776GB,23.1MB / 288MB
3.49%,182.1MiB / 1GiB,744GB / 776GB,23.1MB / 288MB
1.12%,182.1MiB / 1GiB,744GB / 776GB,23.1MB / 288MB
3.56%,182.1MiB / 1GiB,744GB / 776GB,23.1MB / 288MB
3.77%,182.1MiB / 1GiB,744GB / 776GB,23.1MB / 288MB
3.88%,182.1MiB / 1GiB,745GB / 776GB,23.1MB / 288MB
3.77%,182.1MiB / 1GiB,745GB / 776GB,23.1MB / 288MB
1.39%,182.1MiB / 1GiB,745GB / 776GB,23.1MB / 288MB
3.22%,182.1MiB / 1GiB,745GB / 776GB,23.1MB / 288MB
4.38%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.02%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.25%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
1.62%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
3.01%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.51%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
2.51%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.50%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
0.81%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
3.85%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.33%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.49%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.43%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
0.72%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.21%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.40%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
2.62%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.41%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
0.66%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.52%,182.1MiB / 1GiB,745GB / 777GB,23.1MB / 288MB
4.47%,182.1MiB / 1GiB,746GB / 777GB,23.1MB / 288MB
4.09%,182.1MiB / 1GiB,746GB / 777GB,23.1MB / 288MB
4.38%,182.1MiB / 1GiB,746GB / 777GB,23.1MB / 288MB
0.60%,182.1MiB / 1GiB,746GB / 777GB,23.1MB / 288MB
4.45%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.27%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.35%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
2.12%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
2.89%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.34%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.41%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.46%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
0.69%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.27%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.48%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.56%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
4.19%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
0.58%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
16.63%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
18.39%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
19.59%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
21.35%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
21.35%,182.1MiB / 1GiB,746GB / 778GB,23.1MB / 288MB
