CPUPerc,MemUsage,NetIO,BlockIO
1.02%,183MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
0.88%,183MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
0.89%,183MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
0.91%,183MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
0.91%,183MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
5.99%,184.3MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
77.43%,184.3MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
82.16%,184.3MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
77.11%,184.3MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
83.86%,184.3MiB / 1GiB,1.03TB / 1.07TB,23.1MB / 298MB
81.80%,184.3MiB / 1GiB,1.03TB / 1.08TB,23.1MB / 298MB
79.02%,184.3MiB / 1GiB,1.03TB / 1.08TB,23.1MB / 298MB
81.04%,184.3MiB / 1GiB,1.03TB / 1.08TB,23.1MB / 298MB
78.32%,184.3MiB / 1GiB,1.03TB / 1.08TB,23.1MB / 298MB
80.60%,184.3MiB / 1GiB,1.04TB / 1.08TB,23.1MB / 298MB
78.98%,184.3MiB / 1GiB,1.04TB / 1.08TB,23.1MB / 298MB
78.60%,184.3MiB / 1GiB,1.04TB / 1.08TB,23.1MB / 298MB
84.23%,184.3MiB / 1GiB,1.04TB / 1.08TB,23.1MB / 298MB
81.36%,184.3MiB / 1GiB,1.04TB / 1.09TB,23.1MB / 298MB
79.87%,184.3MiB / 1GiB,1.04TB / 1.09TB,23.1MB / 298MB
78.50%,184.3MiB / 1GiB,1.04TB / 1.09TB,23.1MB / 298MB
78.88%,184.3MiB / 1GiB,1.04TB / 1.09TB,23.1MB / 298MB
78.48%,184.3MiB / 1GiB,1.04TB / 1.09TB,23.1MB / 299MB
81.83%,184.3MiB / 1GiB,1.05TB / 1.09TB,23.1MB / 299MB
85.19%,184.3MiB / 1GiB,1.05TB / 1.09TB,23.1MB / 299MB
90.09%,184.3MiB / 1GiB,1.05TB / 1.09TB,23.1MB / 299MB
77.70%,184.3MiB / 1GiB,1.05TB / 1.09TB,23.1MB / 299MB
78.29%,184.3MiB / 1GiB,1.05TB / 1.1TB,23.1MB / 299MB
75.48%,184.3MiB / 1GiB,1.05TB / 1.1TB,23.1MB / 299MB
75.67%,184.3MiB / 1GiB,1.05TB / 1.1TB,23.1MB / 299MB
75.51%,184.3MiB / 1GiB,1.05TB / 1.1TB,23.1MB / 299MB
75.43%,184.3MiB / 1GiB,1.06TB / 1.1TB,23.1MB / 299MB
74.32%,184.3MiB / 1GiB,1.06TB / 1.1TB,23.1MB / 299MB
75.97%,184.3MiB / 1GiB,1.06TB / 1.1TB,23.1MB / 299MB
74.68%,184.3MiB / 1GiB,1.06TB / 1.11TB,23.1MB / 299MB
78.21%,184.3MiB / 1GiB,1.06TB / 1.11TB,23.1MB / 299MB
76.70%,184.3MiB / 1GiB,1.06TB / 1.11TB,23.1MB / 299MB
76.32%,184.3MiB / 1GiB,1.06TB / 1.11TB,23.1MB / 299MB
76.18%,184.3MiB / 1GiB,1.06TB / 1.11TB,23.1MB / 299MB
77.71%,184.3MiB / 1GiB,1.07TB / 1.11TB,23.1MB / 299MB
75.21%,184.3MiB / 1GiB,1.07TB / 1.11TB,23.1MB / 299MB
79.80%,184.3MiB / 1GiB,1.07TB / 1.11TB,23.1MB / 299MB
75.10%,184.3MiB / 1GiB,1.07TB / 1.12TB,23.1MB / 299MB
76.81%,184.3MiB / 1GiB,1.07TB / 1.12TB,23.1MB / 299MB
76.22%,184.3MiB / 1GiB,1.07TB / 1.12TB,23.1MB / 299MB
75.45%,184.3MiB / 1GiB,1.07TB / 1.12TB,23.1MB / 299MB
76.45%,184.3MiB / 1GiB,1.08TB / 1.12TB,23.1MB / 299MB
75.35%,184.3MiB / 1GiB,1.08TB / 1.12TB,23.1MB / 299MB
76.08%,184.3MiB / 1GiB,1.08TB / 1.12TB,23.1MB / 299MB
76.39%,184.3MiB / 1GiB,1.08TB / 1.13TB,23.1MB / 299MB
77.95%,184.3MiB / 1GiB,1.08TB / 1.13TB,23.1MB / 299MB
74.99%,184.3MiB / 1GiB,1.08TB / 1.13TB,23.1MB / 299MB
75.41%,184.3MiB / 1GiB,1.08TB / 1.13TB,23.1MB / 299MB
77.33%,184.3MiB / 1GiB,1.08TB / 1.13TB,23.1MB / 299MB
79.88%,184.3MiB / 1GiB,1.09TB / 1.13TB,23.1MB / 299MB
75.71%,184.3MiB / 1GiB,1.09TB / 1.13TB,23.1MB / 299MB
75.15%,184.3MiB / 1GiB,1.09TB / 1.13TB,23.1MB / 299MB
74.43%,184.3MiB / 1GiB,1.09TB / 1.14TB,23.1MB / 299MB
77.39%,184.3MiB / 1GiB,1.09TB / 1.14TB,23.1MB / 299MB
78.06%,184.3MiB / 1GiB,1.09TB / 1.14TB,23.1MB / 299MB
77.56%,184.3MiB / 1GiB,1.09TB / 1.14TB,23.1MB / 299MB
75.76%,184.3MiB / 1GiB,1.09TB / 1.14TB,23.1MB / 299MB
76.21%,184.3MiB / 1GiB,1.1TB / 1.14TB,23.1MB / 299MB
74.35%,184.3MiB / 1GiB,1.1TB / 1.14TB,23.1MB / 299MB
75.22%,184.3MiB / 1GiB,1.1TB / 1.15TB,23.1MB / 299MB
75.92%,184.3MiB / 1GiB,1.1TB / 1.15TB,23.1MB / 299MB
80.85%,184.3MiB / 1GiB,1.1TB / 1.15TB,23.1MB / 299MB
73.76%,184.3MiB / 1GiB,1.1TB / 1.15TB,23.1MB / 299MB
76.50%,184.3MiB / 1GiB,1.1TB / 1.15TB,23.1MB / 299MB
74.91%,184.3MiB / 1GiB,1.11TB / 1.15TB,23.1MB / 299MB
77.97%,184.3MiB / 1GiB,1.11TB / 1.15TB,23.1MB / 299MB
77.16%,184.3MiB / 1GiB,1.11TB / 1.16TB,23.1MB / 299MB
76.52%,184.3MiB / 1GiB,1.11TB / 1.16TB,23.1MB / 299MB
74.78%,184.3MiB / 1GiB,1.11TB / 1.16TB,23.1MB / 299MB
78.07%,184.3MiB / 1GiB,1.11TB / 1.16TB,23.1MB / 299MB
77.23%,184.3MiB / 1GiB,1.11TB / 1.16TB,23.1MB / 299MB
78.74%,184.3MiB / 1GiB,1.11TB / 1.16TB,23.1MB / 299MB
79.70%,184.3MiB / 1GiB,1.12TB / 1.16TB,23.1MB / 299MB
75.71%,184.3MiB / 1GiB,1.12TB / 1.16TB,23.1MB / 299MB
75.18%,184.3MiB / 1GiB,1.12TB / 1.17TB,23.1MB / 299MB
75.54%,184.3MiB / 1GiB,1.12TB / 1.17TB,23.1MB / 299MB
75.55%,184.3MiB / 1GiB,1.12TB / 1.17TB,23.1MB / 299MB
75.88%,184.3MiB / 1GiB,1.12TB / 1.17TB,23.1MB / 299MB
76.00%,184.3MiB / 1GiB,1.12TB / 1.17TB,23.1MB / 299MB
76.13%,184.3MiB / 1GiB,1.12TB / 1.17TB,23.1MB / 299MB
74.80%,184.3MiB / 1GiB,1.13TB / 1.17TB,23.1MB / 299MB
76.22%,184.3MiB / 1GiB,1.13TB / 1.18TB,23.1MB / 299MB
76.90%,184.3MiB / 1GiB,1.13TB / 1.18TB,23.1MB / 299MB
75.41%,184.3MiB / 1GiB,1.13TB / 1.18TB,23.1MB / 299MB
74.58%,184.3MiB / 1GiB,1.13TB / 1.18TB,23.1MB / 299MB
76.51%,184.3MiB / 1GiB,1.13TB / 1.18TB,23.1MB / 299MB
75.30%,184.3MiB / 1GiB,1.13TB / 1.18TB,23.1MB / 299MB
77.09%,184.3MiB / 1GiB,1.14TB / 1.18TB,23.1MB / 299MB
75.35%,184.3MiB / 1GiB,1.14TB / 1.18TB,23.1MB / 299MB
76.54%,184.3MiB / 1GiB,1.14TB / 1.19TB,23.1MB / 299MB
78.20%,184.3MiB / 1GiB,1.14TB / 1.19TB,23.1MB / 299MB
78.44%,184.3MiB / 1GiB,1.14TB / 1.19TB,23.1MB / 299MB
74.84%,184.3MiB / 1GiB,1.14TB / 1.19TB,23.1MB / 299MB
77.49%,184.3MiB / 1GiB,1.14TB / 1.19TB,23.1MB / 299MB
74.91%,184.3MiB / 1GiB,1.14TB / 1.19TB,23.1MB / 299MB
75.55%,184.3MiB / 1GiB,1.15TB / 1.19TB,23.1MB / 299MB
75.72%,184.3MiB / 1GiB,1.15TB / 1.2TB,23.1MB / 299MB
73.78%,184.3MiB / 1GiB,1.15TB / 1.2TB,23.1MB / 299MB
78.94%,184.3MiB / 1GiB,1.15TB / 1.2TB,23.1MB / 299MB
75.96%,184.3MiB / 1GiB,1.15TB / 1.2TB,23.1MB / 299MB
76.08%,184.3MiB / 1GiB,1.15TB / 1.2TB,23.1MB / 299MB
74.49%,184.3MiB / 1GiB,1.15TB / 1.2TB,23.1MB / 299MB
76.33%,184.3MiB / 1GiB,1.15TB / 1.2TB,23.1MB / 299MB
73.28%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
73.28%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
75.59%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
76.51%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
76.42%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
75.33%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
75.36%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
74.24%,184.3MiB / 1GiB,1.16TB / 1.21TB,23.1MB / 299MB
78.15%,184.3MiB / 1GiB,1.17TB / 1.22TB,23.1MB / 299MB
75.03%,184.3MiB / 1GiB,1.17TB / 1.22TB,23.1MB / 299MB
75.76%,184.3MiB / 1GiB,1.17TB / 1.22TB,23.1MB / 299MB
75.09%,184.3MiB / 1GiB,1.17TB / 1.22TB,23.1MB / 299MB
76.88%,184.3MiB / 1GiB,1.17TB / 1.22TB,23.1MB / 299MB
79.09%,184.3MiB / 1GiB,1.17TB / 1.22TB,23.1MB / 299MB
73.76%,184.3MiB / 1GiB,1.17TB / 1.22TB,23.1MB / 299MB
75.05%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
80.40%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
75.84%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
73.74%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
76.90%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
79.39%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
73.75%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
74.94%,184.3MiB / 1GiB,1.18TB / 1.23TB,23.1MB / 299MB
75.66%,184.3MiB / 1GiB,1.19TB / 1.24TB,23.1MB / 299MB
76.24%,184.3MiB / 1GiB,1.19TB / 1.24TB,23.1MB / 299MB
76.01%,184.3MiB / 1GiB,1.19TB / 1.24TB,23.1MB / 299MB
75.87%,184.3MiB / 1GiB,1.19TB / 1.24TB,23.1MB / 299MB
75.92%,184.3MiB / 1GiB,1.19TB / 1.24TB,23.1MB / 299MB
76.10%,184.3MiB / 1GiB,1.19TB / 1.24TB,23.1MB / 299MB
76.14%,184.3MiB / 1GiB,1.19TB / 1.24TB,23.1MB / 299MB
74.57%,184.3MiB / 1GiB,1.19TB / 1.25TB,23.1MB / 299MB
74.29%,184.3MiB / 1GiB,1.2TB / 1.25TB,23.1MB / 299MB
75.49%,184.3MiB / 1GiB,1.2TB / 1.25TB,23.1MB / 299MB
73.33%,184.3MiB / 1GiB,1.2TB / 1.25TB,23.1MB / 299MB
75.74%,184.3MiB / 1GiB,1.2TB / 1.25TB,23.1MB / 299MB
80.79%,184.3MiB / 1GiB,1.2TB / 1.25TB,23.1MB / 299MB
74.66%,184.3MiB / 1GiB,1.2TB / 1.25TB,23.1MB / 299MB
72.65%,184.3MiB / 1GiB,1.2TB / 1.26TB,23.1MB / 299MB
75.78%,184.3MiB / 1GiB,1.21TB / 1.26TB,23.1MB / 299MB
75.76%,184.3MiB / 1GiB,1.21TB / 1.26TB,23.1MB / 299MB
75.36%,184.3MiB / 1GiB,1.21TB / 1.26TB,23.1MB / 299MB
75.13%,184.3MiB / 1GiB,1.21TB / 1.26TB,23.1MB / 299MB
78.17%,184.3MiB / 1GiB,1.21TB / 1.26TB,23.1MB / 299MB
75.48%,184.3MiB / 1GiB,1.21TB / 1.26TB,23.1MB / 299MB
74.77%,184.3MiB / 1GiB,1.21TB / 1.26TB,23.1MB / 299MB
76.18%,184.3MiB / 1GiB,1.21TB / 1.27TB,23.1MB / 299MB
73.80%,184.3MiB / 1GiB,1.22TB / 1.27TB,23.1MB / 299MB
38.31%,184.3MiB / 1GiB,1.22TB / 1.27TB,23.1MB / 299MB
0.96%,184.3MiB / 1GiB,1.22TB / 1.27TB,23.1MB / 299MB
