CPUPerc,MemUsage,NetIO,BlockIO
78.73%,169.4MiB / 1GiB,846GB / 883GB,270kB / 227MB
77.50%,169.4MiB / 1GiB,848GB / 884GB,270kB / 227MB
78.66%,169.4MiB / 1GiB,849GB / 886GB,270kB / 227MB
76.37%,169.4MiB / 1GiB,851GB / 888GB,270kB / 227MB
73.82%,169.4MiB / 1GiB,853GB / 890GB,270kB / 227MB
76.08%,169.4MiB / 1GiB,854GB / 891GB,270kB / 227MB
77.49%,169.4MiB / 1GiB,856GB / 893GB,270kB / 227MB
77.90%,169.4MiB / 1GiB,858GB / 895GB,270kB / 227MB
78.00%,169.4MiB / 1GiB,859GB / 897GB,270kB / 227MB
77.06%,169.4MiB / 1GiB,861GB / 898GB,270kB / 227MB
76.47%,169.4MiB / 1GiB,863GB / 900GB,270kB / 227MB
78.71%,169.4MiB / 1GiB,865GB / 902GB,270kB / 227MB
77.89%,169.4MiB / 1GiB,866GB / 904GB,270kB / 227MB
76.90%,169.4MiB / 1GiB,868GB / 905GB,270kB / 227MB
78.77%,169.4MiB / 1GiB,870GB / 907GB,270kB / 227MB
74.75%,169.4MiB / 1GiB,871GB / 909GB,270kB / 227MB
74.87%,169.4MiB / 1GiB,873GB / 911GB,270kB / 227MB
79.31%,169.4MiB / 1GiB,874GB / 912GB,270kB / 227MB
76.25%,169.4MiB / 1GiB,876GB / 914GB,270kB / 227MB
76.04%,169.4MiB / 1GiB,878GB / 916GB,270kB / 227MB
78.85%,169.4MiB / 1GiB,879GB / 917GB,270kB / 227MB
75.47%,169.4MiB / 1GiB,881GB / 919GB,270kB / 227MB
77.45%,169.4MiB / 1GiB,883GB / 921GB,270kB / 227MB
75.58%,169.4MiB / 1GiB,884GB / 923GB,270kB / 228MB
80.43%,169.4MiB / 1GiB,886GB / 924GB,270kB / 228MB
77.95%,169.4MiB / 1GiB,888GB / 926GB,270kB / 228MB
79.53%,169.4MiB / 1GiB,890GB / 928GB,270kB / 228MB
76.50%,169.4MiB / 1GiB,891GB / 930GB,270kB / 228MB
74.65%,169.4MiB / 1GiB,893GB / 931GB,270kB / 228MB
77.47%,169.4MiB / 1GiB,895GB / 933GB,270kB / 228MB
77.31%,169.4MiB / 1GiB,896GB / 935GB,270kB / 228MB
74.28%,169.4MiB / 1GiB,898GB / 937GB,270kB / 228MB
0.95%,169.4MiB / 1GiB,899GB / 937GB,270kB / 228MB
