CPUPerc,MemUsage,NetIO,BlockIO
36.93%,179.9MiB / 1GiB,273GB / 285GB,22.2MB / 285MB
76.59%,179.9MiB / 1GiB,274GB / 286GB,22.2MB / 285MB
78.86%,179.9MiB / 1GiB,275GB / 288GB,22.2MB / 285MB
76.91%,179.9MiB / 1GiB,277GB / 289GB,22.2MB / 285MB
76.85%,179.9MiB / 1GiB,278GB / 290GB,22.2MB / 285MB
79.40%,179.9MiB / 1GiB,279GB / 291GB,22.2MB / 285MB
79.37%,179.9MiB / 1GiB,280GB / 292GB,22.2MB / 285MB
77.74%,179.9MiB / 1GiB,281GB / 294GB,22.2MB / 285MB
84.34%,179.9MiB / 1GiB,283GB / 295GB,22.2MB / 285MB
79.06%,179.9MiB / 1GiB,284GB / 296GB,22.2MB / 285MB
79.89%,179.9MiB / 1GiB,285GB / 297GB,22.2MB / 285MB
77.83%,179.9MiB / 1GiB,286GB / 299GB,22.2MB / 285MB
74.42%,179.9MiB / 1GiB,287GB / 300GB,22.2MB / 285MB
75.76%,179.9MiB / 1GiB,289GB / 301GB,22.2MB / 285MB
74.49%,179.9MiB / 1GiB,290GB / 303GB,22.2MB / 285MB
74.73%,179.9MiB / 1GiB,291GB / 304GB,22.2MB / 285MB
77.95%,179.9MiB / 1GiB,293GB / 306GB,22.2MB / 285MB
76.30%,179.9MiB / 1GiB,294GB / 307GB,22.2MB / 285MB
73.72%,179.9MiB / 1GiB,295GB / 308GB,22.2MB / 285MB
74.74%,179.9MiB / 1GiB,297GB / 310GB,22.2MB / 285MB
73.99%,179.9MiB / 1GiB,298GB / 311GB,22.2MB / 285MB
74.37%,179.9MiB / 1GiB,299GB / 312GB,22.2MB / 285MB
73.63%,179.9MiB / 1GiB,300GB / 314GB,22.2MB / 285MB
82.24%,179.9MiB / 1GiB,302GB / 315GB,22.2MB / 285MB
76.87%,179.9MiB / 1GiB,303GB / 316GB,22.2MB / 285MB
73.92%,179.9MiB / 1GiB,304GB / 317GB,22.2MB / 285MB
74.73%,179.9MiB / 1GiB,305GB / 319GB,22.2MB / 285MB
72.66%,179.9MiB / 1GiB,307GB / 320GB,22.2MB / 285MB
75.30%,179.9MiB / 1GiB,308GB / 321GB,22.2MB / 285MB
76.66%,179.9MiB / 1GiB,309GB / 323GB,22.2MB / 285MB
76.38%,179.9MiB / 1GiB,311GB / 324GB,22.2MB / 285MB
74.45%,180.1MiB / 1GiB,312GB / 326GB,22.2MB / 285MB
76.07%,179.9MiB / 1GiB,313GB / 327GB,22.2MB / 285MB
77.75%,179.9MiB / 1GiB,315GB / 328GB,22.2MB / 285MB
74.05%,179.9MiB / 1GiB,316GB / 330GB,22.2MB / 285MB
73.23%,179.9MiB / 1GiB,317GB / 331GB,22.2MB / 285MB
75.30%,179.9MiB / 1GiB,318GB / 332GB,22.2MB / 285MB
75.91%,179.9MiB / 1GiB,320GB / 334GB,22.2MB / 285MB
73.86%,179.9MiB / 1GiB,321GB / 335GB,22.2MB / 285MB
76.63%,179.9MiB / 1GiB,322GB / 336GB,22.2MB / 285MB
78.79%,179.9MiB / 1GiB,324GB / 338GB,22.2MB / 285MB
74.05%,179.9MiB / 1GiB,325GB / 339GB,22.2MB / 285MB
77.32%,179.9MiB / 1GiB,326GB / 340GB,22.2MB / 285MB
75.36%,179.9MiB / 1GiB,328GB / 342GB,22.2MB / 285MB
76.31%,179.9MiB / 1GiB,329GB / 343GB,22.2MB / 285MB
73.72%,179.9MiB / 1GiB,330GB / 344GB,22.2MB / 285MB
74.25%,179.9MiB / 1GiB,331GB / 346GB,22.2MB / 285MB
74.15%,180.1MiB / 1GiB,333GB / 347GB,22.2MB / 285MB
77.96%,179.9MiB / 1GiB,334GB / 349GB,22.2MB / 285MB
74.40%,179.9MiB / 1GiB,335GB / 350GB,22.2MB / 285MB
77.72%,179.9MiB / 1GiB,337GB / 351GB,22.2MB / 285MB
77.58%,179.9MiB / 1GiB,338GB / 353GB,22.2MB / 285MB
76.62%,179.9MiB / 1GiB,339GB / 354GB,22.2MB / 285MB
74.41%,179.9MiB / 1GiB,341GB / 355GB,22.2MB / 285MB
77.75%,179.9MiB / 1GiB,342GB / 357GB,22.2MB / 285MB
75.68%,179.9MiB / 1GiB,343GB / 358GB,22.2MB / 285MB
75.53%,179.9MiB / 1GiB,345GB / 359GB,22.2MB / 285MB
72.39%,179.9MiB / 1GiB,346GB / 361GB,22.2MB / 285MB
76.13%,179.9MiB / 1GiB,347GB / 362GB,22.2MB / 285MB
77.28%,180.1MiB / 1GiB,348GB / 363GB,22.2MB / 285MB
76.65%,179.9MiB / 1GiB,350GB / 365GB,22.2MB / 285MB
74.46%,179.9MiB / 1GiB,351GB / 366GB,22.2MB / 285MB
75.39%,179.9MiB / 1GiB,352GB / 368GB,22.2MB / 285MB
74.74%,180.2MiB / 1GiB,354GB / 369GB,22.2MB / 285MB
75.86%,179.9MiB / 1GiB,355GB / 370GB,22.2MB / 285MB
74.22%,179.9MiB / 1GiB,356GB / 372GB,22.2MB / 285MB
76.10%,179.9MiB / 1GiB,358GB / 373GB,22.2MB / 286MB
76.78%,179.9MiB / 1GiB,359GB / 374GB,22.2MB / 286MB
73.24%,179.9MiB / 1GiB,360GB / 376GB,22.2MB / 286MB
75.37%,179.9MiB / 1GiB,361GB / 377GB,22.2MB / 286MB
74.62%,179.9MiB / 1GiB,363GB / 378GB,22.2MB / 286MB
72.82%,179.9MiB / 1GiB,364GB / 380GB,22.2MB / 286MB
76.16%,179.9MiB / 1GiB,365GB / 381GB,22.2MB / 286MB
76.91%,179.9MiB / 1GiB,367GB / 382GB,22.2MB / 286MB
75.90%,179.9MiB / 1GiB,368GB / 384GB,22.2MB / 286MB
75.77%,179.9MiB / 1GiB,369GB / 385GB,22.2MB / 286MB
74.14%,179.9MiB / 1GiB,371GB / 387GB,22.2MB / 286MB
73.81%,179.9MiB / 1GiB,372GB / 388GB,22.2MB / 286MB
76.22%,179.9MiB / 1GiB,373GB / 389GB,22.2MB / 286MB
74.96%,179.9MiB / 1GiB,374GB / 391GB,22.2MB / 286MB
73.13%,179.9MiB / 1GiB,376GB / 392GB,22.2MB / 286MB
78.62%,179.9MiB / 1GiB,377GB / 393GB,22.2MB / 286MB
78.06%,179.9MiB / 1GiB,378GB / 395GB,22.2MB / 286MB
77.04%,179.9MiB / 1GiB,380GB / 396GB,22.2MB / 286MB
81.83%,179.9MiB / 1GiB,381GB / 397GB,22.2MB / 286MB
73.48%,179.9MiB / 1GiB,382GB / 399GB,22.2MB / 286MB
77.75%,179.9MiB / 1GiB,384GB / 400GB,22.2MB / 286MB
76.22%,179.9MiB / 1GiB,385GB / 401GB,22.2MB / 286MB
74.56%,179.9MiB / 1GiB,386GB / 403GB,22.2MB / 286MB
74.95%,179.9MiB / 1GiB,388GB / 404GB,22.2MB / 286MB
73.62%,179.9MiB / 1GiB,389GB / 406GB,22.2MB / 286MB
77.77%,179.9MiB / 1GiB,390GB / 407GB,22.2MB / 286MB
76.84%,179.9MiB / 1GiB,391GB / 408GB,22.2MB / 286MB
73.84%,179.9MiB / 1GiB,393GB / 410GB,22.2MB / 286MB
77.02%,179.9MiB / 1GiB,394GB / 411GB,22.2MB / 286MB
75.99%,179.9MiB / 1GiB,395GB / 412GB,22.2MB / 286MB
76.03%,179.9MiB / 1GiB,397GB / 414GB,22.2MB / 286MB
74.19%,179.9MiB / 1GiB,398GB / 415GB,22.2MB / 286MB
75.37%,179.9MiB / 1GiB,399GB / 416GB,22.2MB / 286MB
74.36%,179.9MiB / 1GiB,401GB / 418GB,22.2MB / 286MB
76.11%,179.9MiB / 1GiB,402GB / 419GB,22.2MB / 286MB
76.63%,179.9MiB / 1GiB,403GB / 420GB,22.2MB / 286MB
76.52%,179.9MiB / 1GiB,405GB / 422GB,22.2MB / 286MB
76.44%,179.9MiB / 1GiB,406GB / 423GB,22.2MB / 286MB
78.97%,179.9MiB / 1GiB,407GB / 425GB,22.2MB / 286MB
75.96%,179.9MiB / 1GiB,408GB / 426GB,22.2MB / 286MB
75.10%,179.9MiB / 1GiB,410GB / 427GB,22.2MB / 286MB
76.75%,179.9MiB / 1GiB,411GB / 429GB,22.2MB / 286MB
73.51%,179.9MiB / 1GiB,412GB / 430GB,22.2MB / 286MB
75.45%,179.9MiB / 1GiB,414GB / 431GB,22.2MB / 286MB
74.04%,179.9MiB / 1GiB,415GB / 433GB,22.2MB / 286MB
76.48%,179.9MiB / 1GiB,416GB / 434GB,22.2MB / 286MB
77.25%,179.9MiB / 1GiB,418GB / 435GB,22.2MB / 286MB
78.97%,179.9MiB / 1GiB,419GB / 437GB,22.2MB / 286MB
76.22%,179.9MiB / 1GiB,420GB / 438GB,22.2MB / 286MB
75.08%,179.9MiB / 1GiB,421GB / 439GB,22.2MB / 286MB
75.55%,179.9MiB / 1GiB,423GB / 441GB,22.2MB / 286MB
76.50%,179.9MiB / 1GiB,424GB / 442GB,22.2MB / 286MB
75.14%,179.9MiB / 1GiB,425GB / 443GB,22.2MB / 286MB
77.57%,179.9MiB / 1GiB,427GB / 445GB,22.2MB / 286MB
76.62%,179.9MiB / 1GiB,428GB / 446GB,22.2MB / 286MB
77.41%,179.9MiB / 1GiB,429GB / 448GB,22.2MB / 286MB
75.45%,179.9MiB / 1GiB,431GB / 449GB,22.2MB / 286MB
78.07%,179.9MiB / 1GiB,432GB / 450GB,22.2MB / 286MB
75.36%,179.9MiB / 1GiB,433GB / 452GB,22.2MB / 286MB
78.20%,179.9MiB / 1GiB,434GB / 453GB,22.2MB / 286MB
73.89%,179.9MiB / 1GiB,436GB / 454GB,22.2MB / 286MB
76.08%,179.9MiB / 1GiB,437GB / 456GB,22.2MB / 286MB
76.35%,179.9MiB / 1GiB,438GB / 457GB,22.2MB / 286MB
74.38%,179.9MiB / 1GiB,440GB / 458GB,22.2MB / 286MB
77.14%,179.9MiB / 1GiB,441GB / 460GB,22.2MB / 286MB
76.32%,179.9MiB / 1GiB,442GB / 461GB,22.2MB / 286MB
75.76%,179.9MiB / 1GiB,444GB / 462GB,22.2MB / 286MB
75.00%,179.9MiB / 1GiB,445GB / 464GB,22.2MB / 286MB
74.69%,179.9MiB / 1GiB,446GB / 465GB,22.2MB / 286MB
72.95%,179.9MiB / 1GiB,448GB / 466GB,22.2MB / 286MB
73.81%,179.9MiB / 1GiB,449GB / 468GB,22.2MB / 286MB
77.88%,179.9MiB / 1GiB,450GB / 469GB,22.2MB / 286MB
74.85%,179.9MiB / 1GiB,451GB / 471GB,22.2MB / 286MB
73.92%,179.9MiB / 1GiB,453GB / 472GB,22.2MB / 286MB
75.26%,179.9MiB / 1GiB,454GB / 473GB,22.2MB / 286MB
73.94%,179.9MiB / 1GiB,455GB / 475GB,22.2MB / 286MB
74.48%,179.9MiB / 1GiB,457GB / 476GB,22.2MB / 286MB
78.48%,179.9MiB / 1GiB,458GB / 477GB,22.2MB / 286MB
75.19%,179.9MiB / 1GiB,459GB / 479GB,22.2MB / 286MB
75.80%,179.9MiB / 1GiB,461GB / 480GB,22.2MB / 286MB
75.73%,179.9MiB / 1GiB,462GB / 481GB,22.2MB / 286MB
78.97%,179.9MiB / 1GiB,463GB / 483GB,22.2MB / 286MB
74.45%,179.9MiB / 1GiB,464GB / 484GB,22.2MB / 286MB
75.48%,179.9MiB / 1GiB,466GB / 485GB,22.2MB / 286MB
7.57%,179.9MiB / 1GiB,466GB / 486GB,22.2MB / 286MB
