CPUPerc,MemUsage,NetIO,BlockIO
56.30%,169.1MiB / 1GiB,632GB / 660GB,270kB / 226MB
54.68%,169.1MiB / 1GiB,635GB / 662GB,270kB / 226MB
54.93%,169.1MiB / 1GiB,637GB / 665GB,270kB / 226MB
57.25%,169.1MiB / 1GiB,639GB / 667GB,270kB / 226MB
56.39%,169.1MiB / 1GiB,642GB / 670GB,270kB / 226MB
55.06%,169.1MiB / 1GiB,644GB / 672GB,270kB / 226MB
56.73%,169.1MiB / 1GiB,646GB / 675GB,270kB / 226MB
55.73%,169.1MiB / 1GiB,649GB / 677GB,270kB / 226MB
55.71%,169.1MiB / 1GiB,651GB / 680GB,270kB / 226MB
55.69%,169.1MiB / 1GiB,654GB / 682GB,270kB / 226MB
58.12%,169.1MiB / 1GiB,656GB / 685GB,270kB / 226MB
56.30%,169.1MiB / 1GiB,658GB / 687GB,270kB / 226MB
54.62%,169.1MiB / 1GiB,661GB / 690GB,270kB / 226MB
56.26%,169.1MiB / 1GiB,663GB / 692GB,270kB / 226MB
56.16%,169.1MiB / 1GiB,665GB / 695GB,270kB / 226MB
58.46%,169.1MiB / 1GiB,668GB / 697GB,270kB / 226MB
56.66%,169.1MiB / 1GiB,670GB / 700GB,270kB / 226MB
55.26%,169.1MiB / 1GiB,673GB / 702GB,270kB / 226MB
56.88%,169.1MiB / 1GiB,675GB / 705GB,270kB / 226MB
54.56%,169.1MiB / 1GiB,677GB / 707GB,270kB / 226MB
57.73%,169.1MiB / 1GiB,680GB / 710GB,270kB / 226MB
56.62%,169.1MiB / 1GiB,682GB / 712GB,270kB / 226MB
56.81%,169.1MiB / 1GiB,684GB / 715GB,270kB / 226MB
57.22%,169.1MiB / 1GiB,687GB / 717GB,270kB / 226MB
55.84%,169.1MiB / 1GiB,689GB / 720GB,270kB / 226MB
57.12%,169.1MiB / 1GiB,692GB / 722GB,270kB / 226MB
57.30%,169.1MiB / 1GiB,694GB / 725GB,270kB / 226MB
55.11%,169.1MiB / 1GiB,696GB / 727GB,270kB / 226MB
55.91%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
0.97%,169.1MiB / 1GiB,699GB / 730GB,270kB / 226MB
