Time(s),COMMAND,RES,%CPU,%MEM
4.3,top,3628,16.0,0.2
4.4,ksoftirqd/0,0,82.8,0.0
4.4,Suricata-Main,45788,51.7,2.3
4.4,top,3772,13.8,0.2
4.5,ksoftirqd/0,0,71.4,0.0
4.5,Suricata-Main,45788,71.4,2.3
4.5,top,3620,19.0,0.2
4.6,ksoftirqd/0,0,77.8,0.0
4.6,Suricata-Main,45788,63.0,2.3
4.6,top,3800,18.5,0.2
4.7,ksoftirqd/0,0,78.6,0.0
4.7,Suricata-Main,45788,60.7,2.3
4.7,top,3688,14.3,0.2
4.8,ksoftirqd/0,0,86.4,0.0
4.8,Suricata-Main,45788,72.7,2.3
4.8,top,3812,22.7,0.2
4.9,ksoftirqd/0,0,87.5,0.0
4.9,Suricata-Main,45788,70.8,2.3
4.9,top,3628,16.7,0.2
5.0,ksoftirqd/0,0,82.1,0.0
5.0,Suricata-Main,45788,46.4,2.3
5.0,top,3772,14.3,0.2
5.1,ksoftirqd/0,0,80.8,0.0
5.1,Suricata-Main,45788,53.8,2.3
5.1,top,3768,15.4,0.2
5.2,ksoftirqd/0,0,73.1,0.0
5.2,Suricata-Main,45788,50.0,2.3
5.2,top,3748,11.5,0.2
5.3,ksoftirqd/0,0,72.4,0.0
5.3,Suricata-Main,45788,51.7,2.3
5.3,top,3752,13.8,0.2
5.4,ksoftirqd/0,0,73.9,0.0
5.4,Suricata-Main,45788,65.2,2.3
5.4,top,3740,13.0,0.2
5.5,ksoftirqd/0,0,70.4,0.0
5.5,Suricata-Main,45788,59.3,2.3
5.5,top,3764,14.8,0.2
5.6,ksoftirqd/0,0,69.2,0.0
5.6,Suricata-Main,45788,61.5,2.3
5.6,top,3696,15.4,0.2
5.7,ksoftirqd/0,0,94.7,0.0
5.7,Suricata-Main,45788,78.9,2.3
5.7,top,3796,21.1,0.2
5.8,ksoftirqd/0,0,78.3,0.0
5.8,Suricata-Main,45788,65.2,2.3
5.8,top,3772,13.0,0.2
5.9,ksoftirqd/0,0,80.0,0.0
5.9,Suricata-Main,45788,52.0,2.3
5.9,top,3800,12.0,0.2
6.0,ksoftirqd/0,0,70.8,0.0
6.0,Suricata-Main,45788,58.3,2.3
6.0,top,3796,12.5,0.2
6.1,ksoftirqd/0,0,85.0,0.0
6.1,Suricata-Main,45788,65.0,2.3
6.1,top,3740,15.0,0.2
6.2,ksoftirqd/0,0,83.3,0.0
6.2,Suricata-Main,45788,62.5,2.3
6.2,top,3768,20.8,0.2
6.3,ksoftirqd/0,0,79.2,0.0
6.3,Suricata-Main,45788,62.5,2.3
6.3,top,3732,20.8,0.2
6.4,ksoftirqd/0,0,76.2,0.0
6.4,Suricata-Main,45788,61.9,2.3
6.4,top,3632,23.8,0.2
6.5,ksoftirqd/0,0,85.2,0.0
6.5,Suricata-Main,45788,51.9,2.3
6.5,top,3864,14.8,0.2
6.6,ksoftirqd/0,0,84.2,0.0
6.6,Suricata-Main,45788,78.9,2.3
6.6,top,3776,15.8,0.2
6.7,ksoftirqd/0,0,83.3,0.0
6.7,Suricata-Main,45788,46.7,2.3
6.7,top,3688,16.7,0.2
6.8,ksoftirqd/0,0,78.3,0.0
6.8,Suricata-Main,45788,65.2,2.3
6.8,top,3756,13.0,0.2
6.9,ksoftirqd/0,0,79.2,0.0
6.9,Suricata-Main,45788,54.2,2.3
6.9,top,3744,16.7,0.2
7.0,ksoftirqd/0,0,81.5,0.0
7.0,Suricata-Main,45788,51.9,2.3
7.0,top,3768,14.8,0.2
7.1,ksoftirqd/0,0,84.6,0.0
7.1,Suricata-Main,45788,53.8,2.3
7.1,top,3800,15.4,0.2
7.2,ksoftirqd/0,0,81.0,0.0
7.2,Suricata-Main,45788,71.4,2.3
7.2,top,3628,19.0,0.2
7.3,ksoftirqd/0,0,78.3,0.0
7.3,Suricata-Main,45788,69.6,2.3
7.3,top,3768,21.7,0.2
7.4,ksoftirqd/0,0,88.0,0.0
7.4,Suricata-Main,45788,68.0,2.3
7.4,top,3796,16.0,0.2
7.5,ksoftirqd/0,0,88.9,0.0
7.5,Suricata-Main,45788,55.6,2.3
7.5,top,3700,11.1,0.2
7.6,ksoftirqd/0,0,81.8,0.0
7.6,Suricata-Main,45788,72.7,2.3
7.6,top,3756,22.7,0.2
7.7,ksoftirqd/0,0,79.2,0.0
7.7,Suricata-Main,45788,54.2,2.3
7.7,top,3812,8.3,0.2
7.8,ksoftirqd/0,0,80.0,0.0
7.8,Suricata-Main,45788,75.0,2.3
7.8,top,3868,25.0,0.2
7.9,ksoftirqd/0,0,75.0,0.0
7.9,Suricata-Main,45788,50.0,2.3
