CPUPerc,MemUsage,NetIO,BlockIO
0.00%,1.184MiB / 1GiB,4.46TB / 4.46TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.47TB / 4.47TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.49TB / 4.49TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.5TB / 4.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.52TB / 4.52TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.54TB / 4.54TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.55TB / 4.55TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.57TB / 4.57TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.58TB / 4.58TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.6TB / 4.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.61TB / 4.61TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.63TB / 4.63TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.65TB / 4.65TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.66TB / 4.66TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.68TB / 4.68TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.69TB / 4.69TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.71TB / 4.71TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.72TB / 4.72TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.74TB / 4.74TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.76TB / 4.76TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.77TB / 4.77TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.79TB / 4.79TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.8TB / 4.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.82TB / 4.82TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.84TB / 4.84TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,4.85TB / 4.85TB,1.16MB / 4.1kB
