CPUPerc,MemUsage,NetIO,BlockIO
0.00%,1.184MiB / 1GiB,2.15GB / 2.15GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,17.9GB / 17.9GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,33.6GB / 33.6GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,49.4GB / 49.4GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,65.2GB / 65.2GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,80.9GB / 80.9GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,96.7GB / 96.7GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,112GB / 112GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,128GB / 128GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,144GB / 144GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,160GB / 160GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,175GB / 175GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,191GB / 191GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,207GB / 207GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,223GB / 223GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,238GB / 238GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,254GB / 254GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,270GB / 270GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,286GB / 286GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,301GB / 301GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,317GB / 317GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,333GB / 333GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,349GB / 349GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,364GB / 364GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,380GB / 380GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,396GB / 396GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,412GB / 412GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,427GB / 427GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,443GB / 443GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,459GB / 459GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,475GB / 475GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,490GB / 490GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,506GB / 506GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,522GB / 522GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,537GB / 537GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,553GB / 553GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,569GB / 569GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,585GB / 585GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,600GB / 600GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,616GB / 616GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,632GB / 632GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,648GB / 648GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,663GB / 663GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,679GB / 679GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,695GB / 695GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,711GB / 711GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,726GB / 726GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,742GB / 742GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,758GB / 758GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,774GB / 774GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,789GB / 789GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,805GB / 805GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,821GB / 821GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,837GB / 837GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,852GB / 852GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,868GB / 868GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,884GB / 884GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,900GB / 900GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,915GB / 915GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,931GB / 931GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,947GB / 947GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,963GB / 963GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,978GB / 978GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,994GB / 994GB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.01TB / 1.01TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.03TB / 1.03TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.04TB / 1.04TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.06TB / 1.06TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.07TB / 1.07TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.09TB / 1.09TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.1TB / 1.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.12TB / 1.12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.14TB / 1.14TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.15TB / 1.15TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.17TB / 1.17TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.18TB / 1.18TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.2TB / 1.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.21TB / 1.21TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.23TB / 1.23TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.25TB / 1.25TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.26TB / 1.26TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.28TB / 1.28TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.29TB / 1.29TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.31TB / 1.31TB,1.16MB / 4.1kB
