CPUPerc,MemUsage,NetIO,BlockIO
0.84%,169.7MiB / 1GiB,899GB / 937GB,270kB / 228MB
57.82%,169.9MiB / 1GiB,901GB / 940GB,270kB / 228MB
58.91%,169.9MiB / 1GiB,903GB / 942GB,270kB / 228MB
58.30%,169.9MiB / 1GiB,906GB / 945GB,270kB / 228MB
58.77%,169.9MiB / 1GiB,908GB / 947GB,270kB / 228MB
59.00%,169.9MiB / 1GiB,911GB / 950GB,270kB / 228MB
60.02%,169.9MiB / 1GiB,913GB / 952GB,270kB / 228MB
58.54%,169.9MiB / 1GiB,915GB / 955GB,270kB / 228MB
57.60%,169.9MiB / 1GiB,918GB / 957GB,270kB / 228MB
57.53%,169.9MiB / 1GiB,920GB / 960GB,270kB / 228MB
61.08%,169.9MiB / 1GiB,922GB / 962GB,270kB / 228MB
62.07%,169.9MiB / 1GiB,925GB / 965GB,270kB / 228MB
60.00%,169.9MiB / 1GiB,927GB / 967GB,270kB / 228MB
61.15%,169.9MiB / 1GiB,930GB / 970GB,270kB / 228MB
59.07%,169.9MiB / 1GiB,932GB / 972GB,270kB / 228MB
60.16%,169.9MiB / 1GiB,934GB / 975GB,270kB / 228MB
57.12%,169.9MiB / 1GiB,937GB / 977GB,270kB / 228MB
58.54%,169.9MiB / 1GiB,939GB / 980GB,270kB / 228MB
58.32%,169.9MiB / 1GiB,941GB / 982GB,270kB / 228MB
58.63%,169.9MiB / 1GiB,944GB / 984GB,270kB / 228MB
60.43%,169.9MiB / 1GiB,946GB / 987GB,270kB / 228MB
59.58%,169.9MiB / 1GiB,948GB / 989GB,270kB / 228MB
61.69%,169.9MiB / 1GiB,951GB / 992GB,270kB / 228MB
59.51%,169.9MiB / 1GiB,953GB / 994GB,270kB / 228MB
57.39%,169.9MiB / 1GiB,955GB / 997GB,270kB / 228MB
56.25%,169.9MiB / 1GiB,958GB / 999GB,270kB / 228MB
56.67%,169.9MiB / 1GiB,960GB / 1TB,270kB / 228MB
57.15%,169.9MiB / 1GiB,963GB / 1TB,270kB / 228MB
56.08%,169.9MiB / 1GiB,965GB / 1.01TB,270kB / 228MB
58.03%,169.9MiB / 1GiB,967GB / 1.01TB,270kB / 228MB
58.70%,169.9MiB / 1GiB,970GB / 1.01TB,270kB / 228MB
56.37%,169.9MiB / 1GiB,972GB / 1.01TB,270kB / 228MB
58.23%,169.9MiB / 1GiB,975GB / 1.02TB,270kB / 228MB
59.58%,169.9MiB / 1GiB,977GB / 1.02TB,270kB / 228MB
59.26%,169.9MiB / 1GiB,980GB / 1.02TB,270kB / 228MB
58.14%,169.9MiB / 1GiB,982GB / 1.02TB,270kB / 228MB
57.73%,169.9MiB / 1GiB,985GB / 1.03TB,270kB / 228MB
58.75%,169.9MiB / 1GiB,987GB / 1.03TB,270kB / 228MB
58.09%,169.9MiB / 1GiB,989GB / 1.03TB,270kB / 228MB
58.03%,170.2MiB / 1GiB,992GB / 1.03TB,270kB / 228MB
57.71%,169.9MiB / 1GiB,994GB / 1.04TB,270kB / 228MB
56.68%,169.9MiB / 1GiB,997GB / 1.04TB,270kB / 228MB
56.19%,169.9MiB / 1GiB,999GB / 1.04TB,270kB / 228MB
57.38%,169.9MiB / 1GiB,1TB / 1.04TB,270kB / 228MB
57.08%,169.9MiB / 1GiB,1TB / 1.05TB,270kB / 228MB
56.23%,169.9MiB / 1GiB,1.01TB / 1.05TB,270kB / 228MB
56.93%,169.9MiB / 1GiB,1.01TB / 1.05TB,270kB / 228MB
56.76%,169.9MiB / 1GiB,1.01TB / 1.05TB,270kB / 228MB
57.04%,169.9MiB / 1GiB,1.01TB / 1.06TB,270kB / 228MB
58.16%,169.9MiB / 1GiB,1.02TB / 1.06TB,270kB / 228MB
57.86%,169.9MiB / 1GiB,1.02TB / 1.06TB,270kB / 228MB
57.51%,169.9MiB / 1GiB,1.02TB / 1.06TB,270kB / 228MB
59.60%,169.9MiB / 1GiB,1.02TB / 1.07TB,270kB / 228MB
57.14%,169.9MiB / 1GiB,1.03TB / 1.07TB,270kB / 228MB
58.54%,169.9MiB / 1GiB,1.03TB / 1.07TB,270kB / 228MB
57.99%,169.9MiB / 1GiB,1.03TB / 1.07TB,270kB / 228MB
57.25%,169.9MiB / 1GiB,1.03TB / 1.08TB,270kB / 228MB
58.40%,169.9MiB / 1GiB,1.04TB / 1.08TB,270kB / 228MB
58.04%,169.9MiB / 1GiB,1.04TB / 1.08TB,270kB / 228MB
58.72%,169.9MiB / 1GiB,1.04TB / 1.09TB,270kB / 228MB
56.82%,169.9MiB / 1GiB,1.04TB / 1.09TB,270kB / 228MB
58.48%,169.9MiB / 1GiB,1.04TB / 1.09TB,270kB / 228MB
58.64%,169.9MiB / 1GiB,1.05TB / 1.09TB,270kB / 228MB
56.38%,169.9MiB / 1GiB,1.05TB / 1.1TB,270kB / 228MB
58.00%,169.9MiB / 1GiB,1.05TB / 1.1TB,270kB / 228MB
56.95%,169.9MiB / 1GiB,1.05TB / 1.1TB,270kB / 228MB
57.49%,169.9MiB / 1GiB,1.06TB / 1.1TB,270kB / 228MB
57.12%,169.9MiB / 1GiB,1.06TB / 1.11TB,270kB / 228MB
57.63%,169.9MiB / 1GiB,1.06TB / 1.11TB,270kB / 228MB
58.47%,169.9MiB / 1GiB,1.06TB / 1.11TB,270kB / 228MB
58.41%,169.9MiB / 1GiB,1.07TB / 1.11TB,270kB / 228MB
57.57%,169.9MiB / 1GiB,1.07TB / 1.12TB,270kB / 228MB
56.75%,169.9MiB / 1GiB,1.07TB / 1.12TB,270kB / 228MB
58.46%,169.9MiB / 1GiB,1.07TB / 1.12TB,270kB / 228MB
56.95%,169.9MiB / 1GiB,1.08TB / 1.12TB,270kB / 228MB
57.21%,169.9MiB / 1GiB,1.08TB / 1.13TB,270kB / 228MB
58.38%,169.9MiB / 1GiB,1.08TB / 1.13TB,270kB / 228MB
58.56%,169.9MiB / 1GiB,1.08TB / 1.13TB,270kB / 228MB
58.48%,169.9MiB / 1GiB,1.09TB / 1.13TB,270kB / 228MB
56.80%,169.9MiB / 1GiB,1.09TB / 1.14TB,270kB / 228MB
57.25%,169.9MiB / 1GiB,1.09TB / 1.14TB,270kB / 228MB
57.16%,169.9MiB / 1GiB,1.09TB / 1.14TB,270kB / 228MB
57.21%,169.9MiB / 1GiB,1.1TB / 1.14TB,270kB / 228MB
58.37%,169.9MiB / 1GiB,1.1TB / 1.15TB,270kB / 229MB
58.26%,169.9MiB / 1GiB,1.1TB / 1.15TB,270kB / 229MB
57.69%,169.9MiB / 1GiB,1.1TB / 1.15TB,270kB / 229MB
57.32%,169.9MiB / 1GiB,1.11TB / 1.15TB,270kB / 229MB
58.68%,169.9MiB / 1GiB,1.11TB / 1.16TB,270kB / 229MB
56.82%,169.9MiB / 1GiB,1.11TB / 1.16TB,270kB / 229MB
60.31%,169.9MiB / 1GiB,1.11TB / 1.16TB,270kB / 229MB
56.16%,169.9MiB / 1GiB,1.12TB / 1.16TB,270kB / 229MB
57.44%,169.9MiB / 1GiB,1.12TB / 1.17TB,270kB / 229MB
57.88%,169.9MiB / 1GiB,1.12TB / 1.17TB,270kB / 229MB
58.55%,169.9MiB / 1GiB,1.12TB / 1.17TB,270kB / 229MB
55.95%,169.9MiB / 1GiB,1.12TB / 1.17TB,270kB / 229MB
58.22%,169.9MiB / 1GiB,1.13TB / 1.18TB,270kB / 229MB
58.50%,169.9MiB / 1GiB,1.13TB / 1.18TB,270kB / 229MB
56.87%,169.9MiB / 1GiB,1.13TB / 1.18TB,270kB / 229MB
58.37%,169.9MiB / 1GiB,1.13TB / 1.18TB,270kB / 229MB
59.55%,169.9MiB / 1GiB,1.14TB / 1.19TB,270kB / 229MB
58.52%,169.9MiB / 1GiB,1.14TB / 1.19TB,270kB / 229MB
57.29%,169.9MiB / 1GiB,1.14TB / 1.19TB,270kB / 229MB
57.41%,169.9MiB / 1GiB,1.14TB / 1.19TB,270kB / 229MB
57.10%,169.9MiB / 1GiB,1.15TB / 1.2TB,270kB / 229MB
57.75%,169.9MiB / 1GiB,1.15TB / 1.2TB,270kB / 229MB
57.94%,169.9MiB / 1GiB,1.15TB / 1.2TB,270kB / 229MB
57.12%,169.9MiB / 1GiB,1.15TB / 1.2TB,270kB / 229MB
57.47%,169.9MiB / 1GiB,1.16TB / 1.21TB,270kB / 229MB
58.37%,169.9MiB / 1GiB,1.16TB / 1.21TB,270kB / 229MB
56.32%,169.9MiB / 1GiB,1.16TB / 1.21TB,270kB / 229MB
58.96%,169.9MiB / 1GiB,1.16TB / 1.21TB,270kB / 229MB
58.34%,169.9MiB / 1GiB,1.17TB / 1.22TB,270kB / 229MB
57.71%,169.9MiB / 1GiB,1.17TB / 1.22TB,270kB / 229MB
58.49%,169.9MiB / 1GiB,1.17TB / 1.22TB,270kB / 229MB
58.37%,169.9MiB / 1GiB,1.17TB / 1.22TB,270kB / 229MB
57.06%,169.9MiB / 1GiB,1.18TB / 1.23TB,270kB / 229MB
56.39%,169.9MiB / 1GiB,1.18TB / 1.23TB,270kB / 229MB
56.68%,169.9MiB / 1GiB,1.18TB / 1.23TB,270kB / 229MB
57.06%,169.9MiB / 1GiB,1.18TB / 1.23TB,270kB / 229MB
56.92%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.89%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.83%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.94%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.99%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.97%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
