CPUPerc,MemUsage,NetIO,BlockIO
22.54%,181.7MiB / 1GiB,467GB / 486GB,23.1MB / 286MB
58.90%,181.7MiB / 1GiB,469GB / 488GB,23.1MB / 286MB
60.19%,181.7MiB / 1GiB,470GB / 490GB,23.1MB / 286MB
60.30%,181.7MiB / 1GiB,472GB / 492GB,23.1MB / 286MB
59.05%,181.7MiB / 1GiB,474GB / 494GB,23.1MB / 286MB
59.45%,181.7MiB / 1GiB,476GB / 496GB,23.1MB / 286MB
60.57%,181.7MiB / 1GiB,477GB / 498GB,23.1MB / 286MB
59.07%,181.7MiB / 1GiB,479GB / 500GB,23.1MB / 286MB
62.09%,181.7MiB / 1GiB,481GB / 501GB,23.1MB / 286MB
58.55%,181.7MiB / 1GiB,483GB / 503GB,23.1MB / 286MB
59.66%,181.7MiB / 1GiB,485GB / 505GB,23.1MB / 286MB
58.68%,181.7MiB / 1GiB,486GB / 507GB,23.1MB / 286MB
58.63%,181.7MiB / 1GiB,488GB / 509GB,23.1MB / 286MB
61.91%,181.7MiB / 1GiB,490GB / 511GB,23.1MB / 286MB
59.65%,181.7MiB / 1GiB,492GB / 513GB,23.1MB / 286MB
60.09%,181.7MiB / 1GiB,494GB / 515GB,23.1MB / 286MB
57.20%,181.7MiB / 1GiB,495GB / 516GB,23.1MB / 286MB
59.33%,181.7MiB / 1GiB,497GB / 518GB,23.1MB / 286MB
57.89%,181.7MiB / 1GiB,499GB / 520GB,23.1MB / 286MB
58.68%,181.7MiB / 1GiB,501GB / 522GB,23.1MB / 286MB
57.93%,181.7MiB / 1GiB,503GB / 524GB,23.1MB / 286MB
57.38%,181.7MiB / 1GiB,505GB / 526GB,23.1MB / 286MB
59.13%,181.7MiB / 1GiB,506GB / 528GB,23.1MB / 286MB
58.68%,181.7MiB / 1GiB,508GB / 530GB,23.1MB / 286MB
57.01%,181.7MiB / 1GiB,510GB / 532GB,23.1MB / 286MB
58.52%,181.7MiB / 1GiB,512GB / 534GB,23.1MB / 286MB
57.64%,181.7MiB / 1GiB,514GB / 536GB,23.1MB / 286MB
57.34%,181.7MiB / 1GiB,516GB / 538GB,23.1MB / 286MB
57.62%,181.7MiB / 1GiB,518GB / 540GB,23.1MB / 286MB
57.72%,181.7MiB / 1GiB,519GB / 541GB,23.1MB / 286MB
59.28%,181.7MiB / 1GiB,521GB / 543GB,23.1MB / 286MB
57.20%,181.7MiB / 1GiB,523GB / 545GB,23.1MB / 286MB
60.03%,181.7MiB / 1GiB,525GB / 547GB,23.1MB / 286MB
58.58%,181.7MiB / 1GiB,527GB / 549GB,23.1MB / 286MB
58.91%,181.7MiB / 1GiB,529GB / 551GB,23.1MB / 286MB
57.06%,181.7MiB / 1GiB,530GB / 553GB,23.1MB / 286MB
57.81%,181.7MiB / 1GiB,532GB / 555GB,23.1MB / 286MB
57.30%,181.7MiB / 1GiB,534GB / 557GB,23.1MB / 286MB
57.56%,181.7MiB / 1GiB,536GB / 559GB,23.1MB / 286MB
58.45%,181.7MiB / 1GiB,538GB / 561GB,23.1MB / 286MB
57.15%,181.7MiB / 1GiB,540GB / 563GB,23.1MB / 286MB
57.93%,181.7MiB / 1GiB,541GB / 564GB,23.1MB / 286MB
57.85%,181.7MiB / 1GiB,543GB / 566GB,23.1MB / 286MB
57.76%,181.7MiB / 1GiB,545GB / 568GB,23.1MB / 286MB
57.63%,181.7MiB / 1GiB,547GB / 570GB,23.1MB / 286MB
57.52%,181.7MiB / 1GiB,549GB / 572GB,23.1MB / 286MB
57.32%,181.7MiB / 1GiB,551GB / 574GB,23.1MB / 286MB
