Time(s),COMMAND,RES,%CPU,%MEM
0.0,snapd,32928,16.7,1.6
0.0,top,3700,5.6,0.2
0.0,systemd,12840,0.0,0.6
.1,top,3700,11.1,0.2
.1,systemd,12840,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3872,11.1,0.2
.2,rcu_sched,0,5.6,0.0
.2,systemd,12840,0.0,0.6
.3,awk,3168,60.0,0.2
.3,top,3788,20.0,0.2
.3,head,1036,15.0,0.1
.4,top,3772,15.8,0.2
.4,systemd,12840,0.0,0.6
.4,kthreadd,0,0.0,0.0
.5,awk,3116,31.8,0.2
.5,top,3764,13.6,0.2
.5,head,1000,9.1,0.0
.6,top,3744,25.0,0.2
.6,ksoftirqd/0,0,5.0,0.0
.6,systemd,12840,0.0,0.6
.7,top,3736,16.1,0.2
.7,ksoftirqd/0,0,3.2,0.0
.7,systemd,12840,0.0,0.6
.8,top,3724,6.1,0.2
.8,ksoftirqd/0,0,3.0,0.0
.8,systemd,12840,0.0,0.6
.9,top,3612,26.7,0.2
.9,ksoftirqd/0,0,3.3,0.0
.9,rcu_sched,0,3.3,0.0
1.0,top,3808,20.0,0.2
1.0,ksoftirqd/0,0,5.0,0.0
1.0,systemd,12840,0.0,0.6
1.1,top,3732,15.8,0.2
1.1,ksoftirqd/0,0,5.3,0.0
1.1,systemd,12840,0.0,0.6
1.2,top,3876,15.0,0.2
1.2,ksoftirqd/0,0,5.0,0.0
1.2,rcu_sched,0,5.0,0.0
1.3,top,3776,37.0,0.2
1.3,ksoftirqd/0,0,3.7,0.0
1.3,systemd,12840,0.0,0.6
1.4,top,3632,13.8,0.2
1.4,ksoftirqd/0,0,3.4,0.0
1.4,ksoftirqd/1,0,3.4,0.0
1.5,top,3812,33.3,0.2
1.5,rcu_sched,0,3.0,0.0
1.5,systemd,12840,0.0,0.6
1.6,top,3804,17.4,0.2
1.6,systemd,12840,0.0,0.6
1.6,kthreadd,0,0.0,0.0
1.7,top,3792,76.9,0.2
1.7,ksoftirqd/0,0,3.8,0.0
1.7,systemd,12840,0.0,0.6
1.8,top,3636,10.5,0.2
1.8,ksoftirqd/0,0,5.3,0.0
1.8,kworker/u4:1-events_power_efficient,0,5.3,0.0
1.9,head,1012,28.6,0.1
1.9,top,3740,14.3,0.2
1.9,awk,3056,14.3,0.2
2.0,top,3752,40.0,0.2
2.0,ksoftirqd/0,0,2.9,0.0
2.0,multipathd,27240,2.9,1.4
2.1,top,3632,21.1,0.2
2.1,systemd,12840,0.0,0.6
2.1,kthreadd,0,0.0,0.0
2.2,awk,3136,94.7,0.2
2.2,head,1004,15.8,0.0
2.2,top,3760,10.5,0.2
2.3,top,3736,21.4,0.2
2.3,systemd,12840,0.0,0.6
2.3,kthreadd,0,0.0,0.0
2.4,top,3764,36.0,0.2
2.4,systemd,12840,0.0,0.6
2.4,kthreadd,0,0.0,0.0
2.5,top,3756,14.3,0.2
2.5,ksoftirqd/0,0,4.8,0.0
2.5,systemd,12840,0.0,0.6
2.6,top,3768,15.8,0.2
2.6,ksoftirqd/0,0,5.3,0.0
2.6,systemd,12840,0.0,0.6
2.7,top,3800,15.0,0.2
2.7,ksoftirqd/0,0,5.0,0.0
2.7,systemd,12840,0.0,0.6
2.8,top,3628,9.4,0.2
2.8,ksoftirqd/0,0,6.2,0.0
2.8,systemd,12840,0.0,0.6
2.9,top,3804,6.9,0.2
2.9,ksoftirqd/0,0,3.4,0.0
2.9,rcu_sched,0,3.4,0.0
3.0,top,3764,15.0,0.2
3.0,ksoftirqd/0,0,5.0,0.0
3.0,multipathd,27240,5.0,1.4
3.1,head,1020,65.0,0.1
3.1,awk,3120,30.0,0.2
3.1,top,3808,15.0,0.2
3.2,top,3744,45.9,0.2
3.2,ksoftirqd/0,0,5.4,0.0
3.2,systemd,12840,0.0,0.6
3.3,awk,3160,81.0,0.2
3.3,top,3796,14.3,0.2
3.3,head,1016,9.5,0.1
3.4,top,3800,13.2,0.2
3.4,ksoftirqd/0,0,2.6,0.0
3.4,rcu_sched,0,2.6,0.0
3.5,awk,2932,65.2,0.1
3.5,top,3632,13.0,0.2
3.5,ksoftirqd/0,0,4.3,0.0
3.6,top,3808,14.3,0.2
3.6,ksoftirqd/0,0,4.8,0.0
3.6,systemd,12840,0.0,0.6
3.7,top,3748,20.0,0.2
3.7,ksoftirqd/0,0,5.0,0.0
3.7,systemd,12840,0.0,0.6
3.8,top,3756,14.3,0.2
3.8,ksoftirqd/0,0,4.8,0.0
3.8,systemd,12840,0.0,0.6
3.9,top,3624,8.8,0.2
3.9,ksoftirqd/0,0,2.9,0.0
3.9,systemd,12840,0.0,0.6
4.0,top,3768,36.1,0.2
4.0,ksoftirqd/0,0,2.8,0.0
4.0,systemd,12840,0.0,0.6
4.1,awk,3116,76.2,0.2
4.1,top,3620,14.3,0.2
4.1,head,1016,9.5,0.1
4.2,awk,2936,47.8,0.1
4.2,top,3804,21.7,0.2
4.2,ksoftirqd/0,0,4.3,0.0
4.3,top,3740,41.7,0.2
4.3,ksoftirqd/0,0,2.8,0.0
4.3,rcu_sched,0,2.8,0.0
4.4,top,3584,20.0,0.2
4.4,ksoftirqd/0,0,5.0,0.0
4.4,systemd,12840,0.0,0.6
4.5,head,1056,65.0,0.1
4.5,awk,3124,25.0,0.2
4.5,ksoftirqd/0,0,10.0,0.0
4.6,top,3692,15.0,0.2
4.6,ksoftirqd/0,0,5.0,0.0
4.6,systemd,12840,0.0,0.6
4.7,top,3696,15.0,0.2
4.7,ksoftirqd/0,0,5.0,0.0
4.7,systemd,12840,0.0,0.6
4.8,top,3740,25.0,0.2
4.8,ksoftirqd/0,0,4.5,0.0
4.8,rcu_sched,0,2.3,0.0
4.9,top,3584,15.0,0.2
4.9,systemd,12840,0.0,0.6
4.9,kthreadd,0,0.0,0.0
5.0,awk,3136,30.0,0.2
5.0,top,3804,25.0,0.2
5.0,ksoftirqd/0,0,5.0,0.0
5.1,top,3752,12.5,0.2
5.1,awk,3160,12.5,0.2
5.1,head,1008,12.5,0.1
5.2,awk,2960,63.6,0.1
5.2,top,3612,13.6,0.2
5.2,ksoftirqd/0,0,4.5,0.0
5.3,top,3768,21.1,0.2
5.3,systemd,12840,0.0,0.6
5.3,kthreadd,0,0.0,0.0
5.4,awk,3040,31.6,0.2
5.4,top,3792,15.8,0.2
5.4,head,1056,15.8,0.1
5.5,awk,3020,36.8,0.2
5.5,top,3576,21.1,0.2
5.5,systemd,12840,0.0,0.6
5.6,top,3740,40.6,0.2
5.6,ksoftirqd/0,0,6.2,0.0
5.6,systemd,12840,0.0,0.6
5.7,top,3772,10.3,0.2
5.7,ksoftirqd/0,0,2.6,0.0
5.7,multipathd,27240,2.6,1.4
5.8,head,1004,25.0,0.0
5.8,awk,3152,20.0,0.2
5.8,top,3724,15.0,0.2
5.9,awk,3116,50.0,0.2
5.9,top,3688,20.0,0.2
5.9,ksoftirqd/0,0,5.0,0.0
6.0,top,3744,20.0,0.2
6.0,ksoftirqd/0,0,5.0,0.0
6.0,systemd,12840,0.0,0.6
6.1,awk,3112,77.3,0.2
