Time(s),COMMAND,RES,%CPU,%MEM
5.0,ksoftirqd/0,0,87.0,0.0
5.0,Suricata-Main,45788,60.9,2.3
5.0,top,3736,13.0,0.2
5.1,ksoftirqd/0,0,76.0,0.0
5.1,Suricata-Main,45788,52.0,2.3
5.1,top,3804,12.0,0.2
5.2,ksoftirqd/0,0,80.0,0.0
5.2,Suricata-Main,45788,52.0,2.3
5.2,top,3796,16.0,0.2
5.3,ksoftirqd/0,0,84.6,0.0
5.3,Suricata-Main,45788,50.0,2.3
5.3,top,3800,15.4,0.2
5.4,ksoftirqd/0,0,80.0,0.0
5.4,Suricata-Main,45788,52.0,2.3
5.4,top,3740,8.0,0.2
5.5,ksoftirqd/0,0,84.6,0.0
5.5,Suricata-Main,45788,46.2,2.3
5.5,top,3800,11.5,0.2
5.6,ksoftirqd/0,0,84.6,0.0
5.6,Suricata-Main,45788,42.3,2.3
5.6,top,3752,11.5,0.2
5.7,ksoftirqd/0,0,80.0,0.0
5.7,Suricata-Main,45788,48.0,2.3
5.7,top,3788,16.0,0.2
5.8,ksoftirqd/0,0,79.2,0.0
5.8,Suricata-Main,45788,58.3,2.3
5.8,top,3760,16.7,0.2
5.9,ksoftirqd/0,0,88.5,0.0
5.9,Suricata-Main,45788,46.2,2.3
5.9,top,3680,11.5,0.2
6.0,ksoftirqd/0,0,87.5,0.0
6.0,Suricata-Main,45788,54.2,2.3
6.0,top,3792,12.5,0.2
6.1,ksoftirqd/0,0,87.0,0.0
6.1,Suricata-Main,45788,52.2,2.3
6.1,top,3796,13.0,0.2
6.2,ksoftirqd/0,0,84.0,0.0
6.2,Suricata-Main,45788,52.0,2.3
6.2,top,3680,16.0,0.2
6.3,ksoftirqd/0,0,84.0,0.0
6.3,Suricata-Main,45788,52.0,2.3
6.3,top,3784,8.0,0.2
6.4,ksoftirqd/0,0,84.2,0.0
6.4,Suricata-Main,45788,68.4,2.3
6.4,top,3772,15.8,0.2
6.5,ksoftirqd/0,0,87.5,0.0
6.5,Suricata-Main,45788,54.2,2.3
6.5,top,3684,16.7,0.2
6.6,ksoftirqd/0,0,84.0,0.0
6.6,Suricata-Main,45788,52.0,2.3
6.6,top,3776,12.0,0.2
6.7,ksoftirqd/0,0,81.5,0.0
6.7,Suricata-Main,45788,51.9,2.3
6.7,top,3676,11.1,0.2
6.8,ksoftirqd/0,0,84.0,0.0
6.8,Suricata-Main,45788,52.0,2.3
6.8,top,3612,12.0,0.2
6.9,ksoftirqd/0,0,82.1,0.0
6.9,Suricata-Main,45788,46.4,2.3
6.9,top,3736,7.1,0.2
7.0,ksoftirqd/0,0,91.3,0.0
7.0,Suricata-Main,45788,52.2,2.3
7.0,top,3812,13.0,0.2
7.1,ksoftirqd/0,0,88.0,0.0
7.1,Suricata-Main,45788,48.0,2.3
7.1,top,3800,12.0,0.2
7.2,ksoftirqd/0,0,80.0,0.0
7.2,Suricata-Main,45788,65.0,2.3
7.2,top,3740,15.0,0.2
7.3,ksoftirqd/0,0,90.5,0.0
7.3,Suricata-Main,45788,52.4,2.3
7.3,top,3804,14.3,0.2
7.4,ksoftirqd/0,0,83.3,0.0
7.4,Suricata-Main,45788,45.8,2.3
7.4,top,3796,8.3,0.2
7.5,ksoftirqd/0,0,84.0,0.0
7.5,Suricata-Main,45788,52.0,2.3
7.5,top,3760,12.0,0.2
7.6,ksoftirqd/0,0,84.0,0.0
7.6,Suricata-Main,45788,48.0,2.3
7.6,top,3708,12.0,0.2
7.7,ksoftirqd/0,0,80.8,0.0
7.7,Suricata-Main,45788,53.8,2.3
7.7,top,3744,15.4,0.2
7.8,ksoftirqd/0,0,84.6,0.0
7.8,Suricata-Main,45788,53.8,2.3
7.8,top,3628,11.5,0.2
7.9,ksoftirqd/0,0,84.0,0.0
7.9,Suricata-Main,45788,48.0,2.3
7.9,top,3820,12.0,0.2
8.0,ksoftirqd/0,0,83.3,0.0
8.0,Suricata-Main,45788,50.0,2.3
8.0,top,3768,8.3,0.2
8.1,ksoftirqd/0,0,83.3,0.0
8.1,Suricata-Main,45788,54.2,2.3
8.1,top,3744,12.5,0.2
8.2,ksoftirqd/0,0,84.0,0.0
8.2,Suricata-Main,45788,52.0,2.3
8.2,top,3748,12.0,0.2
8.3,ksoftirqd/0,0,91.7,0.0
8.3,Suricata-Main,45788,50.0,2.3
8.3,top,3780,12.5,0.2
8.4,ksoftirqd/0,0,87.0,0.0
8.4,Suricata-Main,45788,52.2,2.3
8.4,top,3720,8.7,0.2
8.5,ksoftirqd/0,0,87.0,0.0
8.5,Suricata-Main,45788,52.2,2.3
8.5,top,3868,8.7,0.2
8.6,ksoftirqd/0,0,87.5,0.0
8.6,Suricata-Main,45788,50.0,2.3
8.6,top,3676,8.3,0.2
8.7,ksoftirqd/0,0,87.5,0.0
8.7,Suricata-Main,45788,45.8,2.3
